====================
 装置情報 BELSORP-max Ver1.3.4
====================
"装置Ｓ／Ｎ："	00185
"基準容積／ml："	27.651
====================
 測定条件
====================
"吸着質名称："	N2
"吸着温度／Ｋ："	77.00
"吸着断面積／nm2："	0
"吸着分子量："	0.00
"平衡時間／sec："	0
"測定モード："	2
====================
 サンプル情報
====================
"試料重量／g："	0.01477
"コメント１："	"Maxsorb(20)"
"コメント２："	"kosuke"
"コメント３："	""
"コメント４："	"リーク量：9.467E-3Pa/Min, 測定前真空度：9.288E-6Pa"
"試料比表面積／m2 g-1："	0.0000
"試料分子量："	0.00
====================
 時間、死容積など
====================
"測定開始日："	15/10/02
"測定時間："	42:26:09
"死容積傾き："	1.0004E-6
"死容積切片："	3.8413E+1
"死容積平均："	38.469
====================
 吸着データ
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"	
7	6.0592E-6	103.12	40.599	7.5343	
8	6.6924E-6	103.03	40.535	9.0955	
9	7.2098E-6	103.03	40.466	10.802	
10	7.4625E-6	102.98	40.401	12.477	
11	8.0115E-6	103.01	40.332	14.100	
12	8.7536E-6	103.03	40.274	15.750	
13	9.3658E-6	102.97	40.216	17.407	
14	1.0309E-5	102.95	40.159	19.019	
15	1.1008E-5	102.93	40.108	20.633	
16	1.1389E-5	102.89	40.066	22.180	
17	1.1709E-5	102.85	40.014	23.748	
18	1.2508E-5	102.81	39.973	25.274	
19	1.3362E-5	102.81	39.923	26.951	
20	1.4421E-5	102.79	39.887	28.539	
21	1.5317E-5	102.79	39.857	30.121	
22	1.5675E-5	102.73	39.828	31.730	
23	1.6910E-5	102.74	39.802	33.270	
24	1.8049E-5	102.71	39.777	34.879	
25	1.9547E-5	102.75	39.752	36.549	
26	2.0552E-5	102.74	39.727	38.128	
27	2.1046E-5	102.71	39.717	38.696	
28	2.1817E-5	102.73	39.695	40.294	
29	2.3243E-5	102.72	39.678	41.964	
30	2.5030E-5	102.72	39.662	43.584	
31	2.5675E-5	102.73	39.647	45.220	
32	2.7037E-5	102.75	39.638	46.905	
33	2.8798E-5	102.74	39.625	48.576	
34	3.0851E-5	102.75	39.619	50.324	
35	3.2381E-5	102.72	39.606	51.933	
36	3.5116E-5	102.70	39.587	53.502	
37	3.8118E-5	102.71	39.570	54.694	
38	4.1017E-5	102.66	39.555	56.394	
39	4.3988E-5	102.70	39.538	58.048	
40	4.7615E-5	102.71	39.525	59.599	
41	5.1341E-5	102.71	39.508	61.188	
42	5.3259E-5	102.74	39.497	61.767	
43	6.1829E-5	102.72	39.482	64.807	
44	7.1315E-5	102.71	39.466	67.843	
45	8.1209E-5	102.74	39.450	70.958	
46	9.2546E-5	102.74	39.433	73.975	
47	1.0510E-4	102.75	39.418	77.105	
48	1.1825E-4	102.75	39.403	80.113	
49	1.3290E-4	102.74	39.386	83.168	
50	1.4940E-4	102.75	39.374	86.215	
51	1.6695E-4	102.77	39.358	89.279	
52	1.8575E-4	102.75	39.343	92.299	
53	2.0647E-4	102.75	39.327	95.310	
54	2.2276E-4	102.76	39.315	97.413	
55	2.4669E-4	102.80	39.296	100.48	
56	2.7305E-4	102.83	39.281	103.54	
57	3.0047E-4	102.83	39.266	106.54	
58	3.3222E-4	102.85	39.250	109.72	
59	3.6535E-4	102.89	39.236	112.79	
60	3.9924E-4	102.89	39.219	115.82	
61	4.3818E-4	102.89	39.204	118.92	
62	4.7664E-4	102.87	39.189	121.91	
63	5.2066E-4	102.91	39.172	125.08	
64	5.6717E-4	102.95	39.152	128.13	
65	5.9986E-4	102.97	39.138	130.22	
66	8.8727E-4	102.92	39.113	145.19	
67	1.2510E-3	102.94	39.087	160.16	
68	1.7171E-3	103.01	39.064	175.14	
69	2.2941E-3	103.02	39.044	190.01	
70	3.0252E-3	103.00	39.027	204.85	
71	3.9621E-3	103.00	39.006	219.93	
72	5.1242E-3	102.96	38.991	234.84	
73	6.0698E-3	102.97	38.975	244.81	
74	7.8052E-3	102.85	38.958	259.89	
75	1.0008E-2	102.82	38.941	274.68	
76	1.3602E-2	102.84	38.925	291.73	
77	1.7871E-2	102.83	38.911	308.50	
78	2.3471E-2	102.77	38.900	324.83	
79	3.0960E-2	102.86	38.885	340.63	
80	4.1058E-2	102.84	38.874	355.92	
81	5.7335E-2	102.83	38.865	372.82	
82	7.9423E-2	102.92	38.850	387.98	
83	1.1458E-1	102.87	38.842	403.73	
84	2.0270E-1	102.90	38.833	426.19	
85	3.1609E-1	102.86	38.826	442.99	
86	4.2316E-1	102.85	38.819	454.09	
87	6.4654E-1	102.87	38.812	470.88	
88	7.2986E-1	102.85	38.807	475.88	
89	1.0087	102.86	38.801	490.10	
90	1.0903	102.86	38.796	493.80	
91	2.5653	102.91	38.798	538.20	
92	3.5444	102.94	38.799	557.69	
93	4.2023	102.94	38.794	568.43	
94	6.2629	102.96	38.800	594.12	
95	7.2999	102.96	38.798	603.57	
96	9.6751	102.97	38.803	619.69	
97	10.321	102.96	38.802	623.17	
98	14.661	102.97	38.818	638.63	
99	15.505	103.02	38.817	640.72	
100	20.055	103.01	38.834	648.98	
101	20.727	102.95	38.837	649.96	
102	25.294	102.99	38.856	655.39	
103	25.899	103.06	38.854	656.05	
104	30.526	103.01	38.874	659.95	
105	31.075	103.06	38.873	660.38	
106	36.243	103.03	38.892	663.77	
107	41.404	103.04	38.913	666.50	
108	46.544	103.03	38.934	668.92	
109	51.726	103.03	38.956	670.80	
110	56.886	103.09	38.975	672.68	
111	62.065	103.08	38.996	674.70	
112	67.214	103.07	39.016	676.23	
113	72.382	102.99	39.037	677.78	
114	77.515	103.04	39.060	679.16	
115	82.659	103.01	39.080	680.63	
116	87.822	103.07	39.100	681.64	
117	92.950	103.04	39.124	683.39	
118	98.016	103.07	39.144	685.91	
119	99.910	103.07	39.153	687.68	
120	102.15	103.11	39.158	694.31	
0	0	0	0	0	
====================
 脱着データ
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"	
1	99.980	103.10	39.142	688.91	
2	97.834	103.12	39.126	686.90	
3	92.599	103.05	39.081	684.53	
4	87.643	103.13	39.041	682.82	
5	82.241	103.12	38.997	681.33	
6	77.285	103.07	38.963	679.85	
7	71.947	103.13	38.923	678.55	
8	67.002	103.10	38.887	677.57	
9	61.673	103.09	38.847	676.09	
0	0	0	0	0	
