====================
 System property BELSORP-maxII 2.0.2.1
====================
"Instrument S/N:"	18
"Vs/ml:"	33.723
====================
 Measurement condition
====================
"Adsorptive:"	N2
"Meas. Temp./K:"	77.42
"Molecular cross-sectional area/nm2:"	0
"Molecular weight of adsorbate:"	0.00
"Equilibrium time/sec:"	0
"Measurement mode:"	3
====================
 Sample information
====================
"Sample weight/g:"	0.02023
"Comment1:"	""
"Comment2:"	""
"Comment3:"	""
"Comment4:"	"Leak amount : 7.404E-3Pa/Min, Vacuum degree before measurement:3.266E-6Pa"
"as/m2 g-1:"	0.0000
"Molecular weight of adsorbent:"	0.00
====================
 Time and dead volume
====================
"Date of measurement:"	23/05/30
"Time of measurement:"	38:24:56
"Slope of dead volume:"	3.9024E-6
"Intercept of dead volume:"	3.7014E+1
"Average dead volume:"	37.257
====================
 Adsorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"	
1	1.5789E-6	102.96	38.684	4.9325E-3	
2	4.5606E-6	103.29	38.588	4.7104E-1	
3	5.3277E-6	103.39	38.544	9.2849E-1	
4	5.5517E-6	103.15	38.483	2.3607	
5	6.0598E-6	102.99	38.444	3.8607	
6	6.6238E-6	102.83	38.406	5.3720	
7	6.8397E-6	102.77	38.374	6.8589	
8	7.5991E-6	102.68	38.348	8.2916	
9	7.8175E-6	102.65	38.323	9.7605	
10	8.1223E-6	102.63	38.307	11.219	
11	8.1499E-6	102.60	38.290	12.686	
12	8.3466E-6	102.61	38.271	14.187	
13	8.5790E-6	102.59	38.257	15.619	
14	8.7824E-6	102.56	38.239	17.091	
15	8.7389E-6	102.45	38.229	18.536	
16	9.1573E-6	102.44	38.214	20.003	
17	9.0266E-6	102.48	38.199	21.512	
18	9.1890E-6	102.49	38.185	23.008	
19	8.7395E-6	102.51	38.172	24.443	
20	8.9274E-6	102.47	38.160	25.999	
21	8.8852E-6	102.46	38.147	27.455	
22	8.8169E-6	102.41	38.138	28.951	
23	9.1052E-6	102.39	38.125	30.458	
24	9.5509E-6	102.37	38.113	31.897	
25	9.1498E-6	102.38	38.100	33.353	
26	9.2497E-6	102.37	38.089	34.782	
27	9.7222E-6	102.30	38.075	36.267	
28	9.9814E-6	102.30	38.060	38.114	
29	1.0275E-5	102.28	38.044	40.012	
30	1.0633E-5	102.30	38.029	41.898	
31	1.1370E-5	102.25	38.015	43.423	
32	1.2148E-5	102.30	38.002	44.846	
33	1.2796E-5	102.31	37.989	46.349	
34	1.3292E-5	102.27	37.976	47.783	
35	1.4263E-5	102.33	37.963	49.223	
36	1.5009E-5	102.34	37.950	50.647	
37	1.6317E-5	102.37	37.933	52.526	
38	1.7374E-5	102.43	37.920	54.015	
39	1.9003E-5	102.42	37.904	55.884	
40	2.0642E-5	102.47	37.888	57.314	
41	2.2248E-5	102.46	37.876	58.794	
42	2.4437E-5	102.50	37.858	60.262	
43	2.6078E-5	102.48	37.845	61.256	
44	2.7827E-5	102.54	37.831	62.760	
45	3.0115E-5	102.60	37.820	64.310	
46	3.2646E-5	102.51	37.812	65.824	
47	5.5612E-5	102.50	37.783	74.139	
48	9.3725E-5	102.46	37.771	83.516	
49	1.4702E-4	102.45	37.753	92.932	
50	2.2061E-4	102.42	37.735	102.20	
51	2.8862E-4	102.31	37.726	108.61	
52	4.1907E-4	102.36	37.715	117.96	
53	5.9421E-4	102.27	37.706	127.18	
54	8.4359E-4	102.35	37.691	136.67	
55	1.1876E-3	102.27	37.680	146.19	
56	1.6583E-3	102.23	37.667	155.59	
57	2.3210E-3	102.25	37.655	164.96	
58	3.2450E-3	102.23	37.645	174.18	
59	4.0986E-3	102.18	37.637	180.50	
60	5.9433E-3	102.26	37.627	190.24	
61	8.6611E-3	102.23	37.618	199.79	
62	1.4230E-2	102.34	37.609	211.95	
63	2.3170E-2	102.27	37.600	223.28	
64	3.7553E-2	102.31	37.594	233.79	
65	5.1255E-2	102.27	37.589	240.22	
66	9.6840E-2	102.35	37.584	252.56	
67	1.1394E-1	102.26	37.580	255.61	
68	2.0025E-1	102.21	37.576	266.09	
69	4.1949E-1	102.20	37.572	280.08	
70	5.7890E-1	102.19	37.566	286.44	
71	1.0087	102.27	37.563	298.40	
72	1.1200	102.19	37.560	300.89	
73	4.0010	102.29	37.572	328.35	
74	5.2849	102.16	37.576	333.74	
75	8.8910	102.24	37.593	342.10	
76	9.3837	102.19	37.594	342.65	
77	10.368	102.33	37.596	343.74	
78	15.196	102.21	37.623	347.66	
79	15.575	102.33	37.621	347.99	
80	20.393	102.22	37.649	350.27	
81	25.514	102.32	37.676	352.21	
82	30.647	102.32	37.703	353.88	
83	35.779	102.35	37.731	355.16	
84	41.020	102.37	37.761	355.89	
85	46.182	102.33	37.790	356.83	
86	51.258	102.32	37.819	357.60	
87	56.391	102.28	37.847	358.07	
88	61.515	102.31	37.876	358.36	
89	68.285	102.37	37.914	359.26	
90	73.572	102.34	37.942	359.93	
91	78.685	102.47	37.967	360.47	
92	83.926	102.40	37.997	360.99	
93	86.338	102.36	38.008	361.27	
94	88.847	102.41	38.018	361.68	
95	91.460	102.41	38.030	361.66	
96	94.035	102.41	38.042	362.02	
97	97.073	102.45	38.057	362.25	
98	100.19	102.40	38.073	362.62	
99	102.23	102.45	38.081	363.68	
0	0	0	0	0	
====================
 Desorption data
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP) g-1"	
1	98.108	102.47	38.047	362.41	
2	95.357	102.45	38.023	361.83	
3	93.990	102.46	38.010	361.50	
4	92.624	102.43	37.996	361.00	
5	87.147	102.45	37.954	360.18	
6	81.702	102.40	37.911	359.22	
7	70.829	102.50	37.830	357.35	
8	61.349	102.47	37.759	356.42	
9	53.215	102.37	37.697	355.47	
10	50.893	102.37	37.676	354.76	
11	42.714	102.33	37.621	354.07	
12	40.652	102.33	37.603	353.71	
0	0	0	0	0	
