====================
 装置情報
====================
"装置Ｓ／Ｎ："	00185
"基準容積／ml："	27.263
====================
 測定条件
====================
"吸着質名称："	N2
"吸着温度／Ｋ："	77.00
"吸着断面積／nm2："	0.000
"吸着分子量："	0.00
"平衡時間／sec："	0
"測定モード："	2
====================
 サンプル情報
====================
"試料重量／g："	0.0118
"コメント１："	"cnbox"
"コメント２："	"kominami"
"コメント３："	""
"コメント４："	"リーク量：1.951E+1Pa/Min, 測定前真空度：3.377E-7Pa"
"試料比表面積／m2・g-1："	0.0000
"試料分子量："	0.00
"試料密度："	0.000
====================
 時間、死容積など
====================
"測定開始日："	22/07/20
"測定時間："	12:27:47
"死容積傾き："	3.326E-06
"死容積切片："	3.397E+01
"初期死容積／ml："	34.159
====================
 吸着データ
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP)・g-1"
1	0.0017515	101.71	34.455	3.832875
2	0.0062239	101.6	34.448	19.57
3	0.020627	101.58	34.441	37.425
4	0.066988	101.58	34.435	52.96875
5	0.1077	101.57	34.43	56.62
6	0.53945	101.59	34.429	69.34875
7	2.2511	101.58	34.434	80.66
8	4.5691	101.58	34.444	87.40375
9	6.2719	101.57	34.45	91.055
10	7.8999	101.58	34.456	93.835
11	9.5019	101.58	34.462	96.175
12	12.681	101.59	34.476	102.825
13	16.885	101.57	34.498	111.5425
14	20.634	101.57	34.517	118.70625
15	24.867	101.57	34.538	127.3625
16	33.161	101.58	34.582	144.6125
17	38.681	101.6	34.61	154.575
18	44.045	101.6	34.638	163.6
19	54.451	101.61	34.696	181.0375
20	65.142	101.6	34.758	197.3375
21	75.751	101.62	34.817	213.9
22	86.044	101.62	34.877	240.7875
23	95.085	101.63	34.927	313.3
24	99.829	101.62	34.949	623.9625
25	100.74	101.59	34.951	910.4
0	0	0	0	0
====================
 脱着データ
====================
"No."	"Pe/kPa"	"P0/kPa"	"Vd/ml"	"V/ml(STP)・g-1"
1	99.464	101.59	34.932	666.825
2	97.307	101.64	34.904	404.2125
3	95.604	101.64	34.884	336.3
4	90.816	101.66	34.847	270.45
5	85.099	101.67	34.802	240.75
6	80.267	101.68	34.766	225.85
7	74.156	101.66	34.724	212.0875
8	69.241	101.66	34.683	203.7375
9	64.288	101.66	34.649	196.2
10	63.083	101.66	34.637	193.65
11	58.092	101.67	34.6	185.0375
12	53.057	101.65	34.566	177.825
13	48.144	101.65	34.526	168.9375
14	42.413	101.63	34.484	140.425
15	36.291	101.64	34.438	118.28875
16	30.992	101.62	34.399	102.32375
0	0	0	0	0
